Iteration	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	2142.29203343	2808.20766488	-721.976747687	5562.60661973	88.2693804735	403.883375486	-352.051747045	544.046563705
1	1020.85349195	2788.41790927	-1366.60830544	5562.60661973	421.021611602	575.420668528	-352.051747045	1183.64157233
2	423.402969943	2627.48832458	-1497.63350535	5562.60661973	618.437240433	605.351173306	-352.051747045	1342.13929239
3	68.5546495956	2455.01803806	-1497.63350535	5562.60661973	729.380144681	585.415342907	-352.051747045	1342.13929239
4	-175.973854733	2307.02426237	-1512.07742557	5562.60661973	810.960388341	565.547325532	-352.051747045	1342.13929239
5	-363.141199793	2184.59418002	-1561.9590867	5562.60661973	881.700409952	551.730234525	-352.051747045	1368.9052705
6	-500.044292648	2075.40130627	-1561.9590867	5562.60661973	930.584607854	532.328330287	-352.051747045	1368.9052705
7	-613.184865897	1982.78837398	-1582.73219831	5562.60661973	973.711034922	516.865921862	-352.051747045	1400.76949696
8	-704.061395525	1900.79644288	-1604.88377731	5562.60661973	1010.87387948	503.188434938	-352.051747045	1441.74110854
9	-780.503702346	1828.47293597	-1641.55141336	5562.60661973	1042.31637089	490.257814159	-352.051747045	1459.61876192
10	-843.663787007	1763.24867637	-1641.55141336	5562.60661973	1068.21459515	477.592323833	-352.051747045	1459.61876192
11	-899.691292365	1705.16736948	-1641.55141336	5562.60661973	1093.12940785	466.934290663	-352.051747045	1459.61876192
12	-952.426941644	1654.17445388	-1729.44022886	5562.60661973	1118.72920504	459.523602568	-352.051747045	1529.02137492
13	-995.691672466	1606.29498509	-1729.44022886	5562.60661973	1138.92452673	450.48894558	-352.051747045	1529.02137492
14	-1030.92656749	1561.29919988	-1729.44022886	5562.60661973	1153.23147264	439.778771875	-352.051747045	1529.02137492
15	-1065.96688824	1521.24612485	-1729.44022886	5562.60661973	1170.10255261	432.184492866	-352.051747045	1529.02137492
